Trading starting				
1996/04/11	"$10,000.00 "			
16 stocks		price >= 30		25%
Rank A only 			Margin	200%
No commissions			Annual	36.94%
maximum	"$1,140,385.94 "		3487 	
95%	"$1,115,577.85 "			
80%	"$979,896.81 "			
20%	"$683,014.74 "			
5%	"$537,763.62 "			
minimum	"$447,097.83 "		3449 	
median	"$822,296.66 "			
mean	"$832,861.17 "		174 	
geo-mean	"$815,114.22 "			4.40074 

	"$447,097.83 "	9/10/2010	3453	3.80019 
	"$524,563.35 "	9/10/2010	3456	3.95998 
	"$537,763.62 "	9/10/2010	3473	3.98483 
	"$552,234.16 "	9/10/2010	3460	4.01139 
	"$575,233.79 "	9/10/2010	3461	4.05219 
	"$659,949.60 "	9/10/2010	3467	4.18958 
	"$666,142.82 "	9/10/2010	3470	4.19892 
	"$667,271.51 "	9/10/2010	3449	4.20061 
	"$682,336.01 "	9/10/2010	3449	4.22294 
	"$683,014.74 "	9/10/2010	3457	4.22393 
	"$683,629.81 "	9/10/2010	3461	4.22483 
	"$685,053.52 "	9/10/2010	3473	4.22691 
	"$699,042.73 "	9/10/2010	3465	4.24713 
	"$709,102.69 "	9/10/2010	3477	4.26142 
	"$717,168.29 "	9/10/2010	3469	4.27273 
	"$738,849.22 "	9/10/2010	3467	4.30251 
	"$782,563.73 "	9/7/2010	3472	4.35999 
	"$785,946.94 "	9/10/2010	3467	4.36430 
	"$793,128.83 "	9/10/2010	3471	4.37340 
	"$793,746.99 "	9/10/2010	3474	4.37418 
	"$797,489.72 "	9/10/2010	3456	4.37888 
	"$798,633.94 "	9/10/2010	3466	4.38032 
	"$805,118.95 "	9/10/2010	3467	4.38840 
	"$817,500.79 "	9/10/2010	3484	4.40367 
	"$819,020.67 "	9/10/2010	3475	4.40552 
	"$825,572.64 "	9/10/2010	3478	4.41349 
	"$832,503.92 "	9/10/2010	3478	4.42185 
	"$851,486.27 "	9/10/2010	3465	4.44440 
	"$868,694.61 "	9/10/2010	3487	4.46441 
	"$875,643.43 "	9/10/2010	3471	4.47237 
	"$888,605.10 "	9/10/2010	3465	4.48707 
	"$901,219.75 "	9/10/2010	3477	4.50116 
	"$935,973.18 "	9/10/2010	3464	4.53900 
	"$937,060.67 "	9/10/2010	3481	4.54016 
	"$939,096.88 "	9/10/2010	3469	4.54233 
	"$942,084.82 "	9/10/2010	3477	4.54551 
	"$943,510.14 "	9/10/2010	3480	4.54702 
	"$950,352.57 "	9/10/2010	3486	4.55425 
	"$964,475.33 "	9/10/2010	3477	4.56900 
	"$967,429.27 "	9/10/2010	3463	4.57206 
	"$979,896.81 "	9/10/2010	3478	4.58486 
	"$981,481.96 "	9/10/2010	3480	4.58648 
	"$986,218.82 "	9/10/2010	3474	4.59129 
	"$1,002,054.21 "	9/10/2010	3479	4.60722 
	"$1,049,056.46 "	9/10/2010	3485	4.65306 
	"$1,108,604.70 "	9/10/2010	3485	4.70827 
	"$1,113,560.70 "	9/10/2010	3487	4.71273 
	"$1,115,577.85 "	9/10/2010	3472	4.71454 
	"$1,120,908.28 "	9/10/2010	3474	4.71931 
	"$1,140,385.94 "	9/10/2010	3474	4.73654 
