Trading starting				
1996/04/11	"$10,000.00 "			
6 stocks	$0.25 	price >= 30		
Rank A only 			Margin	130%
No commissions			Annual	10.11%
maximum	"$149,469.10 "		2054 	
95%	"$83,247.91 "			
80%	"$58,222.00 "			
20%	"$25,904.64 "			
5%	"$18,054.22 "			
minimum	"$8,849.58 "		1965 	
median	"$38,641.61 "			
mean	"$42,902.99 "		2013 	
geo-mean	"$38,493.00 "			1.34789 

	"$8,849.58 "	4/12/2010	1981	(0.12222)
	"$9,079.18 "	4/12/2010	1990	(0.09660)
	"$9,450.43 "	4/12/2010	1975	(0.05652)
	"$10,428.99 "	4/12/2010	1965	0.04200 
	"$10,523.28 "	4/12/2010	1987	0.05100 
	"$11,198.44 "	4/12/2010	2004	0.11319 
	"$11,657.91 "	4/12/2010	1987	0.15340 
	"$11,679.91 "	4/12/2010	1977	0.15528 
	"$11,730.36 "	4/12/2010	2003	0.15959 
	"$11,839.66 "	4/12/2010	1992	0.16887 
	"$12,427.09 "	4/12/2010	1999	0.21729 
	"$12,559.84 "	4/12/2010	1984	0.22792 
	"$13,158.11 "	4/12/2010	1989	0.27445 
	"$13,340.59 "	4/12/2010	1989	0.28823 
	"$13,457.10 "	4/12/2010	1992	0.29692 
	"$13,676.50 "	4/12/2010	1997	0.31309 
	"$13,855.14 "	4/12/2010	2005	0.32607 
	"$14,496.16 "	4/12/2010	1990	0.37130 
	"$15,054.29 "	4/12/2010	2009	0.40908 
	"$15,098.49 "	4/12/2010	1988	0.41201 
	"$15,125.03 "	4/12/2010	2010	0.41377 
	"$15,131.44 "	4/12/2010	2010	0.41419 
	"$15,163.13 "	4/12/2010	2013	0.41628 
	"$15,313.43 "	4/12/2010	1996	0.42614 
	"$15,344.45 "	4/12/2010	2000	0.42817 
	"$15,454.33 "	4/12/2010	1990	0.43530 
	"$15,741.97 "	4/12/2010	1993	0.45375 
	"$15,783.75 "	4/12/2010	1989	0.45640 
	"$15,799.41 "	4/12/2010	2002	0.45739 
	"$15,814.59 "	4/12/2010	2015	0.45835 
	"$16,208.46 "	4/12/2010	2005	0.48295 
	"$16,225.75 "	4/12/2010	1984	0.48401 
	"$16,544.13 "	4/12/2010	2013	0.50345 
	"$16,545.78 "	4/12/2010	1975	0.50355 
	"$16,684.98 "	4/12/2010	1976	0.51192 
	"$16,712.17 "	4/12/2010	1993	0.51355 
	"$16,882.96 "	4/12/2010	1996	0.52372 
	"$17,026.20 "	4/12/2010	2002	0.53217 
	"$17,130.20 "	4/12/2010	1987	0.53826 
	"$17,162.25 "	4/12/2010	1984	0.54013 
	"$17,198.01 "	4/12/2010	2007	0.54221 
	"$17,240.49 "	4/12/2010	1987	0.54468 
	"$17,266.64 "	4/12/2010	1991	0.54619 
	"$17,368.83 "	4/12/2010	2007	0.55209 
	"$17,536.78 "	4/12/2010	2010	0.56172 
	"$17,552.42 "	4/12/2010	2010	0.56261 
	"$17,641.65 "	4/12/2010	1982	0.56768 
	"$17,704.54 "	4/12/2010	2026	0.57124 
	"$17,963.65 "	4/12/2010	1993	0.58577 
	"$18,054.22 "	4/12/2010	1984	0.59079 
	"$18,124.66 "	4/12/2010	1999	0.59469 
	"$18,236.15 "	4/12/2010	1984	0.60082 
	"$18,261.38 "	4/12/2010	1984	0.60220 
	"$18,287.05 "	4/12/2010	2007	0.60361 
	"$18,527.26 "	4/12/2010	1994	0.61666 
	"$18,560.00 "	4/12/2010	1995	0.61842 
	"$18,563.07 "	4/12/2010	2008	0.61859 
	"$18,623.65 "	4/12/2010	1998	0.62185 
	"$18,793.83 "	4/12/2010	2013	0.63094 
	"$18,800.26 "	4/12/2010	1974	0.63129 
	"$18,815.02 "	4/12/2010	1988	0.63207 
	"$18,871.45 "	4/12/2010	1998	0.63507 
	"$18,964.65 "	4/12/2010	2010	0.63999 
	"$19,060.56 "	4/12/2010	2008	0.64504 
	"$19,157.39 "	4/12/2010	2004	0.65010 
	"$19,277.65 "	4/12/2010	2000	0.65636 
	"$19,296.76 "	4/12/2010	1983	0.65735 
	"$19,315.52 "	4/12/2010	1996	0.65832 
	"$19,423.34 "	4/12/2010	1996	0.66389 
	"$19,495.32 "	4/12/2010	1981	0.66759 
	"$19,496.19 "	4/12/2010	2007	0.66763 
	"$19,548.07 "	4/12/2010	2008	0.67029 
	"$19,571.69 "	4/12/2010	1984	0.67150 
	"$19,734.77 "	4/12/2010	1996	0.67980 
	"$19,747.67 "	4/12/2010	1998	0.68045 
	"$19,801.99 "	4/12/2010	1983	0.68320 
	"$19,836.19 "	4/12/2010	1997	0.68492 
	"$20,002.75 "	4/12/2010	1976	0.69328 
	"$20,007.44 "	4/12/2010	2005	0.69352 
	"$20,026.13 "	4/12/2010	1990	0.69445 
	"$20,122.04 "	4/12/2010	1976	0.69923 
	"$20,157.02 "	4/12/2010	1997	0.70097 
	"$20,158.54 "	4/12/2010	1995	0.70104 
	"$20,220.46 "	4/12/2010	2013	0.70411 
	"$20,318.39 "	4/12/2010	2001	0.70894 
	"$20,339.00 "	4/12/2010	1994	0.70995 
	"$20,340.82 "	4/12/2010	2015	0.71004 
	"$20,580.90 "	4/12/2010	2004	0.72178 
	"$20,599.06 "	4/12/2010	1999	0.72266 
	"$20,689.71 "	4/12/2010	2007	0.72705 
	"$20,699.46 "	4/12/2010	2017	0.72752 
	"$20,713.02 "	4/12/2010	2008	0.72818 
	"$20,795.48 "	4/12/2010	2018	0.73215 
	"$20,816.62 "	4/12/2010	2024	0.73317 
	"$20,843.56 "	4/12/2010	2017	0.73446 
	"$20,843.68 "	4/12/2010	1996	0.73447 
	"$20,871.37 "	4/12/2010	2020	0.73579 
	"$20,960.54 "	4/12/2010	1995	0.74006 
	"$20,977.10 "	4/12/2010	2011	0.74085 
	"$21,221.63 "	4/12/2010	2006	0.75244 
	"$21,437.33 "	4/12/2010	1988	0.76255 
	"$21,487.35 "	4/12/2010	1990	0.76488 
	"$21,499.22 "	4/12/2010	2012	0.76543 
	"$21,529.50 "	4/12/2010	2008	0.76684 
	"$21,648.16 "	4/12/2010	2021	0.77234 
	"$21,669.28 "	4/12/2010	1994	0.77331 
	"$21,755.77 "	4/12/2010	1991	0.77729 
	"$21,839.42 "	4/12/2010	2009	0.78113 
	"$21,864.84 "	4/12/2010	2004	0.78229 
	"$21,874.31 "	4/12/2010	2001	0.78273 
	"$21,945.88 "	4/12/2010	2003	0.78599 
	"$21,973.39 "	4/12/2010	2029	0.78725 
	"$21,976.06 "	4/12/2010	2024	0.78737 
	"$22,035.51 "	4/12/2010	1994	0.79007 
	"$22,046.58 "	4/12/2010	2006	0.79057 
	"$22,047.14 "	4/12/2010	2002	0.79060 
	"$22,265.24 "	4/12/2010	1996	0.80044 
	"$22,274.93 "	4/12/2010	2011	0.80088 
	"$22,309.37 "	4/12/2010	2010	0.80242 
	"$22,314.29 "	4/12/2010	1987	0.80264 
	"$22,341.76 "	4/12/2010	2006	0.80387 
	"$22,394.03 "	4/12/2010	2004	0.80621 
	"$22,422.27 "	4/12/2010	1996	0.80747 
	"$22,459.46 "	4/12/2010	1991	0.80913 
	"$22,511.33 "	4/12/2010	1994	0.81143 
	"$22,517.16 "	4/12/2010	1988	0.81169 
	"$22,534.24 "	4/12/2010	1997	0.81245 
	"$22,634.90 "	4/12/2010	1999	0.81691 
	"$22,688.99 "	4/12/2010	2004	0.81929 
	"$22,724.50 "	4/12/2010	2003	0.82086 
	"$22,764.47 "	4/12/2010	2011	0.82262 
	"$22,939.80 "	4/12/2010	2000	0.83029 
	"$22,992.39 "	4/12/2010	2020	0.83258 
	"$22,993.27 "	4/12/2010	1992	0.83262 
	"$23,030.74 "	4/12/2010	2019	0.83424 
	"$23,039.97 "	4/12/2010	2009	0.83465 
	"$23,106.08 "	4/12/2010	2001	0.83751 
	"$23,161.61 "	4/12/2010	2001	0.83991 
	"$23,182.99 "	4/12/2010	1986	0.84083 
	"$23,239.67 "	4/12/2010	2015	0.84328 
	"$23,297.25 "	4/12/2010	2016	0.84575 
	"$23,362.94 "	4/12/2010	2005	0.84857 
	"$23,405.17 "	4/12/2010	2021	0.85037 
	"$23,407.28 "	4/12/2010	2003	0.85046 
	"$23,441.00 "	4/12/2010	2022	0.85190 
	"$23,462.96 "	4/12/2010	2004	0.85284 
	"$23,489.86 "	4/12/2010	2028	0.85398 
	"$23,500.31 "	4/12/2010	2005	0.85443 
	"$23,524.65 "	4/12/2010	1991	0.85546 
