   A Picks        B Picks        C Picks        D Picks        E Picks
Pr Count  Average Count  Average Count  Average Count  Average Count  Average
 0  833   0.01132  137  -0.00617   93  -0.00173   88  -0.01630  177  -0.01564
10  792  -0.00001  137  -0.00927  110   0.00328  100   0.00507  211  -0.00177
12 1241   0.01123  283  -0.00741  218  -0.00468  203  -0.00713  360   0.00004
15 1320   0.00292  301   0.00260  289  -0.00029  265  -0.00565  476  -0.00112
18 1232   0.00625  319   0.00346  257   0.00113  271   0.00449  537  -0.00682
21 1147   0.00931  370  -0.00103  354  -0.00264  390  -0.00020  688  -0.00004
24 1196   0.01165  394   0.00426  358   0.00196  370   0.00341  713   0.00164
27 1075   0.00730  373   0.00228  384   0.00838  424   0.00221  737  -0.00186
30 1365   0.00873  443   0.00031  470  -0.00131  507   0.00141  954  -0.00249
34 1152   0.00996  454   0.00467  493   0.00373  502   0.00540  932   0.00244
38 1009   0.01119  430   0.00638  453  -0.00053  498   0.00332  907  -0.00100
42  908   0.01282  403   0.00432  422   0.00487  428   0.00298  931  -0.00062
46  740   0.01138  339   0.00133  345   0.00267  367  -0.00121  728   0.00101
50  850   0.01164  324   0.00644  398   0.00252  453   0.00164  801  -0.00093
55  620   0.01113  281   0.00135  305   0.00286  369   0.00209  650   0.00073
60  893   0.01037  365   0.00225  427  -0.00181  448   0.00116  932   0.00083
70  568   0.00865  233   0.00497  240   0.00538  263  -0.00594  525  -0.00363
80  896   0.01376  246   0.00211  323   0.00645  344   0.00027  662   0.00205
