					Remaining	Remaining	Remaining	Remaining
Days	Number	Sum	Average	Remaining	Average	Days	Avg Days	Avg / Day
0	5792	11.3881	0.20%	65.1955	1.13%	39353	6.7944	0.17%
1	5526	8.045	0.15%	53.8074	0.97%	33561	6.0733	0.16%
2	5007	-5.4225	-0.11%	45.7624	0.91%	28035	5.5992	0.16%
3	4444	12.4016	0.28%	51.1849	1.15%	23028	5.1818	0.22%
4	3780	10.3457	0.27%	38.7833	1.03%	18584	4.9164	0.21%
5	3105	3.0656	0.10%	28.4376	0.92%	14804	4.7678	0.19%
6	2489	7.3681	0.30%	25.372	1.02%	11699	4.7003	0.22%
7	1879	-4.8052	-0.26%	18.0039	0.96%	9210	4.9015	0.20%
8	1454	5.8351	0.40%	22.8091	1.57%	7331	5.0420	0.31%
9	1162	10.2488	0.88%	16.974	1.46%	5877	5.0577	0.29%
10	927	-2.6168	-0.28%	6.7252	0.73%	4715	5.0863	0.14%
11	749	-1.1126	-0.15%	9.342	1.25%	3788	5.0574	0.25%
12	618	0.4309	0.07%	10.4546	1.69%	3039	4.9175	0.34%
13	505	3.2213	0.64%	10.0237	1.98%	2421	4.7941	0.41%
14	417	-0.071	-0.02%	6.8024	1.63%	1916	4.5947	0.36%
15	314	0.3373	0.11%	6.8734	2.19%	1499	4.7739	0.46%
16	256	1.2345	0.48%	6.5361	2.55%	1185	4.6289	0.55%
17	203	1.0088	0.50%	5.3016	2.61%	929	4.5764	0.57%
18	154	1.0565	0.69%	4.2928	2.79%	726	4.7143	0.59%
19	121	-0.6423	-0.53%	3.2363	2.67%	572	4.7273	0.57%
20	99	0.8409	0.85%	3.8786	3.92%	451	4.5556	0.86%
21	80	1.2766	1.60%	3.0377	3.80%	352	4.4000	0.86%
22	62	0.4607	0.74%	1.7611	2.84%	272	4.3871	0.65%
23	46	0.2407	0.52%	1.3004	2.83%	210	4.5652	0.62%
24	37	-0.1468	-0.40%	1.0597	2.86%	164	4.4324	0.65%
25	30	0.0204	0.07%	1.2065	4.02%	127	4.2333	0.95%
26	23	-0.0581	-0.25%	1.1861	5.16%	97	4.2174	1.22%
27	14	0.2195	1.57%	1.2442	8.89%	74	5.2857	1.68%
28	12	0.9461	7.88%	1.0247	8.54%	60	5.0000	1.71%
29	9	0.0558	0.62%	0.0786	0.87%	48	5.3333	0.16%
30	8	-0.0231	-0.29%	0.0228	0.29%	39	4.8750	0.06%
31	5	-0.1073	-2.15%	0.0459	0.92%	31	6.2000	0.15%
32	4	-0.0253	-0.63%	0.1532	3.83%	26	6.5000	0.59%
33	4	-0.0468	-1.17%	0.1785	4.46%	22	5.5000	0.81%
34	4	-0.0982	-2.46%	0.2253	5.63%	18	4.5000	1.25%
35	3	0.1677	5.59%	0.3235	10.78%	14	4.6667	2.31%
36	3	-0.0587	-1.96%	0.1558	5.19%	11	3.6667	1.42%
37	3	0.0383	1.28%	0.2145	7.15%	8	2.6667	2.68%
38	3	-0.0272	-0.91%	0.1762	5.87%	5	1.6667	3.52%
39	1	0.0391	3.91%	0.2034	20.34%	2	2.0000	10.17%
40	1	0.1643	16.43%	0.1643	16.43%	1	1.0000	16.43%
